Cidade,Estado,Região,Estacionamento,Animais,Restaurantes
Sarasota,FL,Southern,N,N,N
Saratoga Springs,NY,Northeast,Y,N,N
Saratoga Springs,NY,Northeast,N,N,N
Sault Sainte Marie,MI,Central,N,N,N
Savannah,GA,Southern,Y,Y,N
Schenectady,NY,Northeast,Y,Y,N
Schriever,LA,Central,N,N,N
Scotia,CA,Pacific,N,N,N
Scotts Valley,CA,Pacific,N,N,N
Searsport,ME,Northeast,N,Y,N
Seaside,CA,Pacific,N,N,N
Seaside,OR,Pacific Northwest,N,N,N
Seattle,WA,Pacific Northwest,Y,Y,N
Seattle,WA,Pacific,N,N,N
Sebring,FL,Southern,Y,N,N
Sedalia,MO,Central,N,N,N
Sedona,AZ,Southwest,N,N,N
Selma,NC,Southern,N,N,N
Shawano,WI,Central,N,N,N
Sheboygan,WI,Central,N,N,N
Shelby,MT,Pacific Northwest,Y,Y,N
Shreveport,LA,Southwest,N,N,N
Simi Valley,CA,Southwest,N,N,N
Skykomish,WA,Pacific Northwest,N,N,N
Skykomish,WA,Pacific Northwest,N,N,N
Slidell,LA,Southern,N,N,N
Smith River,CA,Pacific,N,N,N
Solana Beach,CA,Southwest,Y,N,N
Solvang,CA,Southwest,N,N,N
Somerdale,NJ,Northeast,N,Y,N
South Beloit,IL,Central,N,N,N
South Bend,IN,Central,Y,Y,N
South Lake Tahoe,CA,Pacific,N,N,N
South Shore,KY,Central,N,N,N
Southern Pines,NC,Southern,N,N,N
Sparks,NV,Pacific,N,Y,N
Spartanburg,SC,Southern,N,N,N
Spokane,WA,Pacific Northwest,Y,Y,N
Springfield,IL,Central,Y,Y,N
St. Cloud,MN,Central,N,N,N
St. George,UT,Southwest,N,N,N
St. Ignace,MI,Central,N,N,N
St. Joseph,MI,Central,N,N,N
St. Louis,MO,Central,Y,Y,N
St. Paul,MN,Central,Y,Y,N
Stanley,ND,Pacific Northwest,N,N,N
Stanley,WI,Central,N,N,N
Stanwood,WA,Pacific Northwest,N,N,N
Staples,MN,Central,N,N,N
Stateline,CA,Pacific,N,N,N
Stateline,NV,Pacific,N,Y,N
Staunton,VA,Mid-Atlantic,N,Y,N
Stevens Pass,WA,Pacific Northwest,N,N,N
Stevens Point,WI,Central,N,N,N
Stevens Point,WI,Central,N,N,N
Stockton,CA,Pacific,Y,N,N
Stockton,CA,Pacific,N,N,N
Sturtevant,WI,Central,N,N,N
Suisun City,CA,Pacific,N,N,N
Summit,IL,Central,N,N,N
Sun City-Menifee,CA,Southwest,N,N,N
Sunriver,OR,Pacific Northwest,N,N,N
Surf,CA,Southwest,N,N,N
Syracuse,NY,Northeast,N,N,N
Syracuse,NY,Northeast,Y,Y,N
Tacoma,WA,Pacific Northwest,Y,Y,N
Tampa,FL,Southern,Y,N,N
Tawas City,MI,Central,N,N,N
Taylor,TX,Southwest,N,N,N
Tehachapi,CA,Southwest,N,N,N
Temple,TX,Southwest,Y,N,N
Texarkana,AR,Southwest,Y,Y,N
The Dalles,OR,Pacific Northwest,N,N,N
The Villages,FL,Southern,N,N,N
Thurmond,WV,Mid-Atlantic,N,N,N
Ticonderoga,NY,Northeast,N,N,N
Toccoa,GA,Southern,N,N,N
Toledo,OH,Central,Y,Y,N
Toledo,OR,Pacific Northwest,N,N,N
Tomah,WI,Central,N,N,N
Topeka,KS,Central,Y,N,N
Torrance,CA,Southwest,N,N,N
Tracy,CA,Pacific,N,N,N
Tracy,CA,Pacific,N,N,N
Traverse City,MI,Central,N,N,N
Trenton,NJ,Northeast,Y,Y,N
Trinidad,CO,Southwest,N,N,N
Truckee,CA,Pacific,N,N,N
Tucson,AZ,Southwest,Y,Y,N
Tukwila,WA,Pacific Northwest,N,N,N
Tusayan,AZ,Southwest,N,N,N
Tuscaloosa,AL,Southern,Y,N,N
Twin Falls,ID,Pacific Northwest,N,N,N
Tyrone,PA,Mid-Atlantic,N,N,N
Ukiah,CA,Pacific,N,N,N
Utica,NY,Northeast,Y,Y,N
Vail,CO,Central,N,N,N
Vale,OR,Pacific Northwest,N,N,N
Vallejo,CA,Pacific,N,N,N
Vallejo,CA,Pacific,N,N,N
Van Nuys,CA,Southwest,Y,N,N
Vancouver,WA,Pacific Northwest,Y,Y,N
Ventura,CA,Southwest,N,N,N
Victorville,CA,Southwest,N,N,N
Victorville,CA,Southwest,N,N,N
Virginia Beach,VA,Mid-Atlantic,N,Y,N
Visalia,CA,Pacific,N,N,N
Waldo,FL,Southern,N,N,N
Waldoboro,ME,Northeast,N,Y,N
Walla Walla,WA,Pacific Northwest,N,N,N
Wallingford,CT,Northeast,N,Y,N
Walloon Lake,MI,Central,N,N,N
Walnut Ridge,AR,Central,N,N,N
Warrensburg,MO,Central,N,N,N
Warrenton,OR,Pacific Northwest,N,N,N
Wasco,CA,Pacific,N,N,N
Washington,DC,Mid-Atlantic,Y,Y,N
Washington,MO,Central,N,N,N
Waterbury,VT,Northeast,N,Y,N
Waterloo,IN,Central,N,N,N
Waupaca,WI,Central,N,N,N
Waupun,WI,Central,N,N,N
Wausau,WI,Central,N,N,N
Wells,ME,Northeast,N,Y,N
Wenatchee,WA,Pacific Northwest,N,N,N
West Glacier,MT,Pacific Northwest,N,N,N
West Kingston,RI,Northeast,Y,Y,N
West Palm Beach,FL,Southern,N,N,N
West Palm Beach,FL,Southern,Y,N,N
Westchester,CA,Southwest,N,N,N
Westerly,RI,Northeast,Y,Y,N
Westfield,WI,Central,N,N,N
Westport,NY,Northeast,N,N,N
Westwood,MA,Northeast,Y,Y,N
White City,OR,Pacific,N,N,N
White River Junction,VT,Northeast,N,N,N
White Sulphur Springs,WV,Mid-Atlantic,N,N,N
Whitefish,MT,Pacific Northwest,Y,Y,N
Whitehall,NY,Northeast,N,N,N
Wildwood,FL,Southern,N,N,N
Williams,AZ,Southwest,N,N,N
Williams Junction,AZ,Southwest,N,N,N
Williamsburg,VA,Mid-Atlantic,Y,Y,N
Williston,ND,Pacific Northwest,Y,Y,N
Willits,CA,Pacific,N,N,N
Wilmington,DE,Mid-Atlantic,Y,Y,N
Wilson,NC,Southern,Y,Y,N
Windsor,CT,Northeast,N,Y,N
Windsor,VT,Northeast,N,N,N
Windsor Locks,CT,Northeast,N,Y,N
Winnemucca,NV,Pacific,N,Y,N
Winona,MN,Central,Y,Y,N
Winslow,AZ,Southwest,N,N,N
Winston-Salem,NC,Southern,N,N,N
Winston-Salem,NC,Southern,N,N,N
Winter Haven,FL,Southern,Y,N,N
Winter Park,FL,Southern,Y,N,N
Wiscasset,ME,Northeast,N,Y,N
Wisconsin Dells,WI,Central,N,N,N
Wishram,WA,Pacific Northwest,N,N,N
Wittenberg,WI,Central,N,N,N
Woburn,MA,Northeast,N,Y,N
Wolf Point,MT,Pacific Northwest,Y,N,N
Woodbridge,VA,Mid-Atlantic,N,Y,N
Worcester,MA,Northeast,Y,Y,N
Yazoo City,MS,Central,N,N,N
Yemassee,SC,Southern,N,N,N
Yonkers,NY,Northeast,N,N,N
Yosemite National Park,CA,Pacific,N,N,N
Yosemite National Park,CA,Pacific,N,N,N
Yosemite National Park,CA,Pacific,N,N,N
Yosemite National Park,CA,Pacific,N,N,N
Yosemite National Park,CA,Pacific,N,N,N
Yosemite National Park,CA,Pacific,N,N,N
Yosemite National Park,CA,Pacific,N,N,N
Yuma,AZ,Southwest,N,N,N
