Title,Review,Date,Rating
Surprisingly Good,"The whole thesis of the show is around family (queue the Dom meme) which made it a feel-good season. The origin flashback scenes are well inserted as their timings were perfect and well connected to the present-day plot. They all seem to have some deep routed trauma which jump started each characters pirate journey so it tries to play on the emotions. The formula of the show is very simple. It's a journey, each episode is a new stop, new characters, new location, new drama, by end of the episode justice is served then onto the next stop. I like it simple. Compared to the anime they managed to fit around 4 seasons of anime into 1 season of live action. Which is proof there are way too many fillers in the anime. A story that gets straight to the point is what we have here and it works. It's an action-packed finale and a wholesome ending that comes full circle, it's worth going through it all before judging.",1 September 2023,7
Enjoyed by somebody who has never watched the anime,"I have never touched One Piece in my life, so I wasn't sure if the live action was going to be for me. I sat down with my brother who has watched one piece and me and him both enjoyed this live action. I reckon that this is a series that could both be enjoyed by one piece fans and by people who have never seen the anime before. You can tell this series has had a somewhat decent budget put into it and the actors somewhat resemble the characters in the anime. The CGI is decent but the cinematography is really nice, the background sets look realistic and makes you feel like you are in the one piece universe.

To summarise: I have never watched one piece before, but I really enjoyed this live action. I recommend for both one piece enjoyed and people who haven't watched the anime.",12 September 2023,9
Keep it going we need a Season 2,"I've followed OP since it came to the states in Monthly shounen jump in the early 2000s, then I began the anime in 2004 when it got its first dub. I've been a lifelong fan of this series and wanted nothing more than this series to be good, however there are VERY Few live action anime adaptations that work. So my hopes were hi but expectations low.

I am so happy to say that this was an amazing success have tiny little nitpicks here and there but they are nothing in comparison to everything that was done right in this and I'm so happy for the OP community, Eichiro Oda, everyone involved, and the new fans who will be introduced to this incredible story in this new medium.

Such a fun, campy, love-filled ride of adventure. We need to see loguetown and dressrosa in a second season.

I absolutely loved this and am so happy it is getting the recognition and views it deserves.

The One Piece Live Action Is REAL!!!",6 September 2023,9
Anime Live action curse broken !!? THIS IS AMAZING!!,"As a non-anime watcher, I embarked on a journey to explore this highly anticipated series and found myself utterly captivated by its well-casted characters, immersive storytelling, outstanding VFX, and an experience that shattered the curse of live-action anime adaptations. Binge-watching all the episodes in a single day was a testament to the series' gripping narrative and stellar execution.

The casting choices for ""One Piece"" on Netflix deserve immense praise. From Monkey D. Luffy to Roronoa Zoro, and the rest of the Straw Hat Pirates, each character felt true to their anime counterparts, both in terms of appearance and personality. Fans of the original series can rest assured that the live-action adaptation pays a respectful homage to Eiichiro Oda's iconic characters. The standout performance has to be from the charismatic and goofy Monkey D. Luffy, portrayed by a talented actor who seamlessly captures Luffy's adventurous spirit and determination. The chemistry between the main cast members is palpable, making it easy to root for this motley crew on their epic journey.

One of the remarkable aspects of the Netflix ""One Piece"" series is its ability to draw in viewers who may not typically be fans of anime. As a newcomer to the genre, I found the story incredibly engaging and accessible. The show takes the time to introduce the world of the Grand Line, the concept of Devil Fruits, and the various pirate crews, allowing newcomers to understand and appreciate the rich lore of the ""One Piece"" universe. It is a testament to the writing and direction that the series can cater to both die-hard fans and newcomers alike, striking a perfect balance between fan service and accessibility.

The visual effects in the ""One Piece"" series are nothing short of impressive. Bringing the fantastical elements of the anime to life is no small feat, but the series rises to the occasion with top-notch CGI and practical effects. The vibrant and diverse world of ""One Piece"" is rendered in stunning detail, from the lush greenery of the jungle-filled islands to the towering warships and colossal sea creatures. The action sequences are a visual spectacle, with Luffy's Gum-Gum abilities and Zoro's swordsmanship being particularly well-executed. The VFX team has done a commendable job in staying true to the source material while adapting it for live-action, resulting in an immersive experience that does justice to the anime's legacy.

One of the most significant achievements of the Netflix ""One Piece"" series is its potential to break the curse that has plagued live-action anime adaptations in the past. Historically, fans of anime have often been disappointed by subpar live-action versions of their favorite shows and movies. However, ""One Piece"" stands as a shining example of how meticulous casting, faithful adaptation, and high-quality production values can defy expectations. This series should serve as a turning point for Netflix, encouraging them to explore more live-action adaptations of popular anime properties. It not only respects the source material but elevates it to a new level of entertainment.

Binge-watching all the episodes in a single day is a testament to the series' addictive storytelling. The pacing is well-balanced, with each episode leaving viewers hungry for the next installment. The character development is another highlight, as we witness the growth and evolution of the Straw Hat Pirates as they encounter formidable adversaries and face their inner demons. The series is not just about epic battles and treasure hunting; it also explores themes of friendship, loyalty, and the pursuit of dreams. These universal themes resonate with audiences of all ages and backgrounds, making ""One Piece"" a truly timeless tale.

In conclusion, Netflix's live-action adaptation of ""One Piece"" is a resounding success. It has managed to capture the essence of the beloved anime and manga series while simultaneously breaking the curse of lackluster live-action anime adaptations. The well-casted characters, outstanding visual effects, and engaging storytelling make it a must-watch for fans and newcomers alike. This series should serve as a blueprint for future live-action anime projects, and I, for one, am excited to see what Netflix has in store for the world of anime adaptations. ""One Piece"" on Netflix has set a high bar, and I can't wait to embark on more adventures with the Straw Hat Pirates in the future.",27 September 2023,9
Unbelievably Engaging,"I stumbled upon this show in Netflix's top 10 when looking for something light-hearted. I wanted to watch 1 or 2 episodes before moving on to something else. Instead, I was drawn in and binge-watched the whole series. A really well-made and entertaining series.

I watched a couple of episodes of the anime series and couldn't believe how close the show is to it. The live-action series was very well cast, especially Luffy. His character is so endearing..

Do yourself a favor, take a break from the horror and suspense movies, and watch this show. This show is not just for kids I strongly recommend it.",9 September 2023,10
Most Fun I've Had On Netflix Since Stranger Things Season 1,"When I saw the trailer for this show it looked dumb as heck but the trailer failed to capture the heart and soul of this series that shines through almost immediately in episode 1.

There's a lot that goes into making a show like this work. Very few have cracked the code of how to translate Anime to live action and it's mostly because the people who make these adaptions only understand that they ARE popular but not why.

We love the characters, we love the action, we love the set pieces and costumes and boy does this show do all of that right.

Almost every character has a complicated backstory that is well fleshed out and makes sense.

Luffy is a ray of sunshine in this relatively dark and unforgiving world filled with ruthless pirates more interested in the dark side of piracy whereas Luffy understand that piracy isn't about the bad stuff, it's about freedom, loyalty, adventure and standing up for what's right.

I would definitely recommend this to pretty much anyone. The action is on point, the characters are used to their fullest extent and the story is expertly written and executed.

You will love it!",7 September 2023,10
Very bad adaption. I can't understand the good rating,"Forget this one, just read the manga please if you want a emotionally heart warming and cool adventurous story. I dunno the perspective of those who doesn't read the manga but for me who not so religiously follow the manga (I take a break at Wan) arc and decided to read later), this is a very bad adaptation even an insult to the original. This series successfully make me write one of the longest IMDB reviews I've ever wrote. Why? Since I have sooooooooo many things to complained about. Okay here we go. I warned you, I spill, critique every single scene, and pointed out what was different from the original manga as far as I could remember (I even reread the original to refresh some scenes). I apologize beforehand for my messed up english, not my first language.

At first I was convinced this will be good after the trailer. My expectation very soon goes downhill through each episode. I watch until episode 5 and give up because it becomes unbearable for me to continue (my husband on the other hand, still trying to finish all the episode remaining). Everything feels so bad, there are only 2 things I thought were great : the setting and the buggy cast. Buggy scene is quite enjoyable to watch and the acting is also not bad. The Buggy scene is great though they altered some of it from manga but that's still okay. However, beside those 2 things, I found everything was so.....disappointing. They altered a lot from the manga especially since the Baratie story (the Usop story is not great either but still bearable eventhough they kill Merry who supposed to be survive in the manga). The characters are very deviate from the original. Garp is supposed to be this chill, cool, funny, wild grandpa but here they made him a very serious angry vice admiral who desperately want to capture luffy to the point calling Mihawk to chase after him (wtf). They get rid off Don Krieg completely from the Baratie arc. Mihawk who, in the middle of eliminating Don Krieg, got a call from Garp to captured Luffy. This is very different from the original. In the original, Mihawk was looking for Don Krieg and it leads him to Baratie, coincidentally meet Luffy who was forced working in the kitchen because the damaged he caused to Baratie. Mihawk doesn't have intention to fight Strawhats, let alone captured him for Garp. This is so weird. Nami is also out of character here. She is supposed to be taking advantage of Sanji when Sanji flirt with her to he give free of charge food. Here, she expressed disgust and awkward attitude towards Sanji when he is flirting with her. Nami is also supposed to be already sneaking out and leaving Baratie by stealing Going Merry from the crew when Don Krieg comes and making a mess at Baratie. Since in this period, Nami is supposed to be still prioritizing her safety and goals above the Strawhats. Here, instead of fleeing she stays with the crew to witness Mihawk defeat Zoro (Don Krieg doesn't appear at all at Baratie because he was defeated by Mihawk. I understand they might cut off Don Krieg fight with Luffy completely because of the difficulty in taking shot or production. Fighting scene above the water, stepping only on floating plank might challenging if not impossible to recreate in Live adaptation). They also reveal Garp is Luffy grandpa this early and give a lot of unnecessary portion of scene to Coby (who, in reality, only appears a very short time in the early time of Luffy adventure. So why they give a lot of scene to this Coby?). They also remove the iconic curly eyebrows of Sanji! They potrayed Sanji as someone who feels stucked in Baratie and how Zeff held back his potential (which is super untrue, we all know Sanji feels debted to Zeff and adamantly choose to stay at Baratie even at the cost of his dream). My conclusion so far up to episode 5, Luffy cast is the worst. Seriously, who cast him. He is not Luffy by all means. Luffy supposed to be this kind, innocent, simpleton guy who wants to be a pirate king. But here, he is super annoying. He smiles too often, his smile is creepy to look at, and he is an idiot beyond saving, far worse than Usop. Luffy is a man with a few words, but his words often can touch deep the hearts of others (he can be silly and idiotic but never feel annoying, just pure straightforward). He is supposed to be a charismatic character. This Luffy in the series failed to potray all that. I was really disgusted at Luffy, especially when Luffy got angry at Zeff and saying he is holding back Sanji (dude, this is very different from manga. Zeff is a fatherly figure for Sanji. Someone Sanji very admired and feel grateful for. Zeff knows Sanji dream and potential, he tried to make Sanji leave for his sake and Luffy NEVER GOT ANGRY AT ZEFF. In this series, I was so embarrassed an frustated when I see Luffy lashed out at Zeff saying he waste Sanji potential and its better for Sanji to come with him. In the manga, the reason Luffy want Sanji is because Luffy was looking for a cook and he likes Sanji personality and skill but Luffy never lashed out at Zeff or even blaming him for holding back Sanji. This is supposed to be one of heartwarming arc but instead of feeling emotionally moved, I feel enraged by how the series ruined the original characters. Luffy supposed to be the pivotal character, the anchor of all the crews but here... The cast for Luffy is so wrong. He speaks too much, his action and fighting scene is too simple and not cool (I know it might be too hard to exaclty replicate his fighting style but still..they make him TALKS TOO MUCH. IT IS NOT LUFFY AT ALL.) I understand if they try to cut some scenes or characters because the manga is a very long story with a lot of characters, but they take the wrong turns. They cut important scenes and adding not important scene like when Zeff do emergency surgery with Sanji help to stitch Zoro wound and patching him up with dead fishes (seriously, this is not in the manga and I dont understand why they add this unnecessary scene). There also no fishmen as Baratie staff in the manga. They mixed Baratie story with Arlong story. Arlong suddenly appear at Baratie (WTH. The Strawhats supposed to be go to Nami hometown, Cocoyashi Village, to chase after her and taking back going merry she stole from them. There they will learn Nami's background story and save her from Arlong clutched). So many things deviated from the original and in a bad way, they really change the story (and completely, some scenes) from episode 5 onward. I am speechless. What a let down and waste of the potential. They should just stick to the original story (cutting some impossible fighting scene that really hard to reproduce in the live action is still understandable) and doesn't need to rush out to introducing some characters too early if it means ruining their characters or story. Can't help feeling upset after watching this series.",9 September 2023,1
A fantastic adaptation,"This adaptation is just superb!

Goods:
The cast is probably the highlight (thanks to Oda sensei and the talent search crew for that). Nami is the BEST!



The core story is there. There are obviously some changes but they do not divert the story too much.



Beautiful cinematography



It kept the essence of heart-warming of the manga+anime.


Bads:
Some beloved side characters were not there



It felt a little rushed but overall, it is the best shonen adaptation by a million miles.


Final consensus: Can't wait to see Robin, Chopper, and the rest of the crew members. I NEED SEASON TWO LIKE RIGHT NOW!!!",2 September 2023,9
1 episode in,"I absolutely loved the first episode, I'm caught up in the anime (not the manga, sorry folks) and this was a fantastic interpretation of one piece. I thought this would be like all the other live action anime adaptations, but I was wrong. It was energetic, well choreographed, vibrant. They somehow made it not feel corny, and luffy's devil fruit actually looks really good on screen. I'm so stoked to keep watching; the whole time I was watching I was laughing and cheering because it was like seeing a long lost friend. Heck, this stuff was well over 1000 episodes ago! The music they used with the scene with shanks and crew was direct from the show too. My god, I love one piece. I'm really glad that even episode one made me feel this happy. Even if the rest of the show is bad (which I highly doubt that it will be), this show remains a 10 for me. Give this one a chance lads, this is a rare success.",31 August 2023,10
one piece live action is amazing,"The long-awaited live-action adaptation of ""One Piece"" has finally arrived, and it's a rollercoaster ride of adventure, nostalgia, and excitement. As a dedicated fan of the original anime and manga series, I approached this adaptation with a mix of anticipation and skepticism. However, I'm thrilled to report that the creators have managed to capture the heart and soul of ""One Piece"" while delivering a fresh and engaging experience for both loyal fans and newcomers.

One of the most remarkable aspects of the live-action adaptation is the impeccable casting. The actors embody the beloved characters we've grown to love over the years, bringing them to life in a way that feels both authentic and refreshing. From Monkey D. Luffy's boundless energy and determination to Roronoa Zoro's unwavering loyalty and impressive swordsmanship, each character's essence is faithfully portrayed. The chemistry among the cast members is palpable, reflecting the deep bonds that the Straw Hat crew shares. It's evident that the casting team took great care in selecting individuals who not only resemble the characters physically but also capture their personalities flawlessly.

Visually, the live-action ""One Piece"" is a feast for the eyes. The vibrant and sprawling world of the Grand Line has been beautifully reimagined, with attention to detail that will surely delight fans. The creativity and craftsmanship put into replicating iconic locations like Water 7 and Dressrosa are truly commendable. The CGI and practical effects seamlessly blend to create a universe that feels both fantastical and authentic. From the awe-inspiring Thousand Sunny to the eerie and mysterious Thriller Bark, the adaptation's visual effects team has gone above and beyond to make the One Piece world come alive in ways we could only dream of.

Of course, no ""One Piece"" adaptation would be complete without its share of epic battles and action sequences. The choreography and execution of these scenes are nothing short of spectacular. Watching Luffy stretch his rubbery limbs and Zoro unleash his signature sword techniques in real life is a dream come true for fans. The adrenaline-pumping confrontations with iconic villains like Arlong, Crocodile, and Doflamingo are reimagined with meticulous attention to detail, honoring the original while adding cinematic flair. The battles not only showcase the characters' combat skills but also their growth, camaraderie, and unwavering determination in the face of adversity.

While staying true to the source material, the live-action adaptation also takes creative liberties that enhance the storytelling experience. Certain arcs have been expanded upon, offering deeper insights into character motivations and relationships. These additions enrich the narrative, providing a fresh perspective for fans who are already familiar with the events of the series. Additionally, newcomers to the ""One Piece"" world will find the adaptation accessible and engaging, thanks to the well-paced exposition and character introductions.

One of the most delightful surprises of the live-action adaptation is its ability to evoke the same range of emotions as the original series. The humor, the heartwarming moments, and the gut-wrenching tragedies are all masterfully portrayed. The adaptation's writing captures the essence of Eiichiro Oda's storytelling, ensuring that the emotional resonance that made ""One Piece"" a global phenomenon is maintained in this new format.

In conclusion, the ""One Piece"" live-action adaptation is a triumph that pays homage to its source material while boldly charting its own course. The exceptional casting, stunning visuals, exhilarating action, and emotional depth all contribute to an experience that is both faithful to the original and excitingly fresh. Whether you're a die-hard fan who has followed Luffy's journey from the beginning or a newcomer eager to explore the Grand Line for the first time, this adaptation has something for everyone. It's a celebration of adventure, friendship, and the enduring spirit of pursuing one's dreams - all fundamental themes that have made ""One Piece"" an enduring masterpiece.",31 August 2023,10
Romance Dawn almost PERFECT! Near accurate casting,"ROMANCE DAWN!! First episode was almost PERFECT, Luffy and Koby scenes were very hearttouching especially when they parted at the end, luffy slapping koby was very much funny adorable Luffy!! Emily as nami was very pretty and hot, Helmeppo was soo perfect almost lovable, buggy's henchman Cabaji looked perfect!!! The end scene revealing Buggy and his maniacal voice was Sooo GOOD!! 😍 THATS BUGGY!! But BEST of all, Zoro was SOOOOO badass!!!! ⚔ The swordfight with early boroqueworks agent was new but Sooo cool, bar scene picking up the food was super smooth, Zoro entering the yard fight to save luffy and nami then him putting on bandana and three-swords style scene against Axehand Morgan was soo epic!!! 😍⚔ Amazing that it works in real-life somehow! Soo funny Zoro caught helmeppo in his room with his sword naked 😆 The casting is Very good, near perfect for most! Going to love this show alot if this keeps up! Only problem is the young luffy is not him at all, thoough Shanks was cool. Old man Garp being scottish is amusing as well!! Time to finish the rest and give an overall view of it! 9:00pm 31.8.2023.",31 August 2023,9
An Authentic One Piece Experience,"I recently had the pleasure of watching Netflix's adaptation of One Piece, and I must admit, my worries were put to rest. The cast that initially had me concerned turned out to be an absolute delight, delivering performances that truly did justice to the beloved characters. It's safe to say that their acting prowess greatly contributed to the overall enjoyment of the show.

One of the most impressive aspects of this adaptation is how faithfully it adheres to the original plot. The storyline remained intact and impeccably executed, ensuring that viewers like me remained captivated from start to finish. The pacing was well-thought-out, allowing the narrative to unfold naturally and keeping us engaged throughout the series.

When it comes to the visual elements, Netflix certainly spared no expense. The visual effects and CGI seamlessly blended with the live-action scenes, enhancing the show's overall appeal. This careful attention to detail significantly contributed to the immersion factor, making the One Piece world come alive on screen.

However, it's not all praise. There's one particular aspect that left me slightly disappointed - the costume choices. While the performances and plot were on point, the costumes seemed to veer towards resembling stage drama attire at times. This decision felt slightly out of place, especially within the context of the show's vibrant and intricate universe. It's a minor grievance that, unfortunately, distracted me momentarily from an otherwise remarkable experience.

In conclusion, Netflix's adaptation of One Piece stands as a commendable triumph. With exceptional acting, a faithful plot, and impressive visual effects, the series captures the essence of Eiichiro Oda's masterpiece and delivers an enjoyable rendition. While the costume choices might leave something to be desired, they do not overshadow the overall achievement of bringing this beloved story to life in such an engaging and captivating manner.",31 August 2023,9
A revolutionary production and step towards Anime live action,"As a man who has spent his teenage years with anime, manga, and movies, I am honored to write a confident review on the live action adaption of One Piece.

Without being biased or heavily influenced even as someone who watched 700 episodes of the anime in a summer, this series is a masterpiece. In one sentence, "" You don't feel left out, you are drawn in to the world of One Piece in this adaption as if you are part of this world.""

Live Action anime adaptations have this stigma of being inaccurate, vastly different, or twisted beyond measure, etc. Even I had a tendency to avoid watching anime live action adaptions since most of them weren't that good (like the infamous DBZ movie). Besides that, this series, One Piece on Netflix, is the very first adaptation that sets the record for appealing to both anime/manga fans and casual watchers of series.

What I find the most impressive, features on the live action series not sticking to the manga completely and making it work. The pacing is different to the anime, but its absolutely perfect as it doesn't feel too slow or fast. It is just right, enough to allow us to become comfortable with the characters and truly enjoy what is going on.

I hope this series will continue for a very long time, its worth watching with your full attention.",15 September 2023,10
I'm actually pleasantly surprised,"There have been numerous articles talking about how hard they worked on this and how much the creator had a hand in it. I chalked it up to the used car salesman routine. This is actually really well done. The actors do a great job, and even pick up some of the mannerisms of their characters. The story is more concise and deviates but you have to expect that when you condense a whole story arc to 8 episodes.

The cool part is it's not a carbon copy of the cartoon, it adds more depth to some of the characters, like Garp and Koby.

I was worried about how they would handle CGI but it surprisingly holds up. The settings are really well made up as well.

This was a really great watch.",1 September 2023,10
Great Netflix series in a long time,"I am not a fan of the original story nor I knew of it before this live action by Netflix but as soon as I saw the trailer, I had to at least try this. And it was so worth it. I finished it in less than 24 hours and still want it more. As soon as I finished it, I went straight to google searching for new of second season. And there it was, the announcement of second season of this global hit. It is so energetic and radiating positive energy throughout the story. Even in dark/sad times which leaves you with great feeling. And the lead Monkey D Luffy (Iñaki Godoy) is amazing. That anything is possible attitude and greatness smile just makes your day. One of the greatest Netflix series in long time.",17 September 2023,10
"As both and avid anime and live action movie fan, this might birth a new genre.","There are a lot of things that can wrong with a live action adaptation of an anime but Netflix's One Piece avoids almost all pitfalls in this genre. Most of the live action adaptations of anime usually focus too much on the realistic aspects of the project and kill off the atmosphere of the original series.

The One Piece series catches the perfect balance between the realistic and the wonky aspects of the show. The parts that have been altered are for the good of the adaptation and the parts that HAVE to be in there are executed perfectly, keeping the imagery consistent.

I quite enjoyed the not-so-serious atmosphere of the series. Costume, makeup, set design and action felt at just the right scale where it isn't distracting from reality but perfectly resembles the One Piece world. The acting and the writing are clearly made by people who care about the world and it shows.

I think this show might be a game changer in live action films/series like the spider-verse was a game changer in animation.",31 August 2023,9
The Legend Begins?,"I had tons of fun in the moment but core issues with the show absolutely exist. I would give it a B- after sleeping on it. The 10.5 volumes this adapts also get the same score but for different reasons. I like how this bucks the manga´s unwillingness to kill people in the present leading to actual stakes and the arcs are far less isolated here. The show also looks more ""pirate-y"" than it´s source material. The manga of course became less episodic once the Grand Line was reached but I will admit that the show´s expanded marines B-plot needs trimming so not all of the ""improvements"" fully work. I liked ep 1-2 the most and ep 3-4 the least. Syrup Village is, of course, a mess in the manga itself. Ep 5-6 come close to the early high. Ep 7-8 are simply too packed and its well-acted take on Arlong is a bit too weak to fully work. I am glad that my favorite crew member Zoro shined the brightest and Mackenyu was born to play him. The core crew is nailed, even if Sanji and Usop got less time than needed, as Zoro and Nami got additional scenes that took away focus from them. The best villain is of course Buggy and the funniest character. The most important foundational stones are there for what comes next to work and the sets and most costumes exceeded any expectations. The bombastic score is another winner but is a bit overused. The anime has the same musical problem as it is a bit too epic and loud at times. The show´s underuse of CG is hopefully a S1 problem but budget issues will only grow from here. The manga´s settings and powers go bonkers after the upcoming Arabasta Saga, to put it mildly. Even its fire, limb growing, sand and smoke powers will be a challenge. Let´s not even think about the transforming reindeer boy as the show still has to commit to Luffy´s stretchiness. What we need next is better cinematography and actual establishing shots. A bit more room to breathe, one more ep for Arlong Park would have done wonders here as the enslaved village is underused, and seasons of at least 10 eps are a must. S1 just fades out and even non-fans should feel that something is missing. That was likely out of the showrunner's hands but we could have ended on one of the best scenes in the manga/anime instead of starting S2 with a double climax.

It´s a miracle that any of this is even watchable, even if only the easiest-to-adapt part of One Piece was used. All involved deserve a standing ovation! Rurouni Kenshin live action this isn´t despite the budget per minute likely being similar or higher but the Bebop studio came close. And what a glow-up after that abortion! No one is expecting a full adaptation but I would be shocked if we don´t get at least a 2nd season to show the true manga. Netflix Piece will go down in legend if it only ends after 1 season as I can´t see another crew sail the Grand Line after seeing this one formed so well.

PS: Don´t bother with the anime adaptation as its pacing and visuals sadly fall apart after the Skypia arc. No filler episode list can solve its issues unlike let´s say Naruto. A fan cut named ""One Pace"" thankfully fixes the biggest problem and is recommendable.",1 September 2023,7
This is how it's done!,Man this was an awesome series! I went in not knowing what to expect annnd man was it good you can tell they really put some love into this show! Bringing back the original creator and having them look and help with the show. One Piece was really good! They didn't mess it up like with cowboy Bebob. My favorite episode was probably the 6th The Chef and Chore Boy but the show all around was really good kept me hooked to the screen! When he does that Axe Kick at the end and it goes through the whole building into the shark Saw guy man that was sooooooo cooooool! I can't wait for the next part of the adventure with the Straw Hat Pirates!,8 September 2023,10
The Must-Watch Series of the Year: One Piece on Netflix Delivers an Unforgettable Cinematic Experience,"As a fan of One piece anime, I was initially skeptical when I heard that Netflix would be adapting it into a live-action series. However, after watching the trailers then watching the live action series, I was pleasantly surprised by how well the adaptation was executed. The live-action series not only stayed true to the original IP ( story line ) , but it also managed to capture the essence of One piece in a way that felt fresh and exciting.

I have to emphasize that I am completely unbiased in saying this - as a viewer, I was able to fully immerse myself in the world of the live-action series without any preconceived notions or biases. And, I have to say that it was worth the wait. The attention to detail in the costumes, sets, and special effects was impressive, and the performances by the actors were top-notch.

Of course, like any adaptation, there were some small errors in the first season that could be improved upon in a potential second season. But overall, the live-action series was a joy to watch, and I am eagerly hoping for a second season to see how the story and characters will continue to develop.

All in all, Netflix did an excellent job adapting this beloved anime into a live-action series, and I would highly recommend it to both fans of the original IP and newcomers alike.",31 August 2023,10
How.is.it.this.good???,"I attempted to watch the anime twice, but just couldn't get into it. Then I saw how Cowboy Bebop was massacred by Netflix, so to say I started this series with apprehension is an understatement. But hey, I kept reading that they delivered on this one. So I figured I'd give it a shot.

Wow.

Raw, goofy, unrestricted fun. Entertainment even! I'm definitely not shocked to learn that the creator, Eiichiro Oda, was heavily involved, even prompting reshoots when the narrative/characters seemed to drift. The story is tight- characters are consistent, the writing is simple and not over cluttered.

The acting is also incredible. The performers sell these over-the-top personalities when needed, but also show great emotional range when the audience is privy to their vulnerabilities.

All of that aside, this would be meaninglessness if not for Oda's underlying tale. The heart of the story, which I'd long heard about in the anime, is on showcase with this adaptation. The story of following one's dreams and defying oppression cuts through the noise of most entertainment with a sense of sincerity that is touching.

Very, very well done. I can't wait until season 2, but I in the meantime I guess there's an anime out there that deserves a third chance.",24 September 2023,10
"Sit back, relax, enjoy","This is no smart stuff, pure and simple emotions, whacky characters, simple jokes, but all together it creates that magic that brings the joy. I would also point out the acting, which I liked a lot. Kinda reminded me of ""Bunraku"", everything is a bit exaggerated, but not over the top, so I got that theatrical feeling. Cameraman work was splendid, to my taste. The shots and the angles, I liked it a lot, really helped me emerge into the atmosphere. And the music and overall sound design, all the gunshots, sword sounds, ship sounds, everything was on point. I also liked that the ""superpowers"" were not used without reason, and that they were not that powerful. In the end, it is all about the characters and personalities, rather that a bit-em-up power fantasy.

A really good adaptation, rare sight, highly recommend even if you haven't seen the anime.",3 September 2023,9
How do I like this so much ???,"I consider myself a lurking anime fan. I don't like all anime but I won't shy away from giving it a chance. That being said, there is still only a small pocket of material I actually enjoy. I gave the anime version of One Piece a chance and couldn't make it past the first episode or two, though am familiar with the lore.

But this. This drew me in almost immediately and kept me engaged the entire time. It's the perfect level of serious, wholesome, and zany without shying away from violence but not being gratuitous.

Each character is uniquely distinct and interesting, again, without being too over the top. It has the perfect blend of almost everything one could want.

This is what a proper adaptation can be. It's ok to not follow the source material for plot exactly as long as the characters are there and their motivations stay intact.

I can't wait until Netflix cancels this one after one season.",2 September 2023,10
Never have I ever seen so many bot reviews of a program,"There's so many reviews all the same 10/10 that go along the lines of

I thought it was going to disappoint but I surprised by how good it is

Live action adaption they nailed it

The reality is.

I'd say this show is the usual Netflix standard, like 5 out of 10. Max.

Has all the usual issues of a Netflix show, actors don't seem to be cast based on talent, no meaningful story arcs, not many characters that you would like. Childish dialogue- nobody talks like these people

I read a review that said they spent $17,000,000 an episode, I reckon Adam Goldberg could have made a more involving story for $17 an episode.",2 September 2023,4
Feelgood Fun and so much that's good,"I don't know anything about the anime, so this review is purely on the Netflix show without any consideration or comparison for the anime.

Once piece is really amazing. At first I was uncertain about it, but after a friend recommended it I gave it a try.

It has a very anime feel to it. It's over the top, but not too much. Luffy, the captain, has such an inspiring optimism about him, I can't help but smile.

There are so many likable characters. They are complex and multi-faceted. Each have their own strength, each are interesting. Female characters show strength and depth without needing to make men incompetent and useless.

The casting is on point. The scene, setting and acting are extravagant but it totally fits the anime style. The technology level and fashion is all over the place which adds a fun creativity to it.

The writing is excellent, the story flow is great and every episode has something special to it. It's so feelgood. I'm left smiling often and it even tugged a tear out at times.

Highly recommend. Please netflix, make more things this.",17 September 2023,10
Absolutely fantastic!,"I have not seen the anime or read the manga, and I only just finished thr 3rd episode, but I cannot keep in just how much I am enjoying this show. This is the only US production I have loooooved since Game of Thrones season 1 came out 12 years ago (which was ruined in season 6 after Hollywood writing took over). Given how great it is I am assuming Hollywood did not take many liberties, and it is quite evident.

This is SO much fun to watch, the writing is great (and not cringe as it has been for over a decade), the visuals and the casting is PERFECT! I cannot imagine anyone else would do as perfect a job as the actor for Luffy... who was brilliant!

If you are not watching this, you are missing out.",1 September 2023,10
First episode was ok,"I liked the first episode as a spin-off. Casting was good, but that's it. From the second episode forward, it's just a regular cheap bad series, doing a One Piece cosplay. When people mentioned the budget was like that of GOT, I guess they meant the budget of a single GOT episode to create the whole show, or maybe they spent all that money on marketing, because it was certainly no employed on the show. Just another bad series not worth anybody's time. This is One Piece ""interpreted"" by an idiot. A poor idiot at that. People saying the series is great are clearly lying, or not reliable. Maybe this is the first tv show they have ever watched and they'll probably change their opinions when they discover something like HBO.",4 September 2023,3
Masterpiece,"I have not seen the manga/anime and had no expectations and got totally blown away!

The action, the environments, the simple story is just very good.

The cast is absolutely fantastic - every character well played, specially Luffy. His smirk, smile and laughter and his positive attitude is really something. I couldn't stop watching this show and got blown away with the water filled world with fish people, pirate legends, rubber people, violence, death and humour.

I'm going to dig into the animated version now and really looking forward for next season when they sail the Grand line, looking for the one piece and their dreams.",20 September 2023,9
It's much better than expected !!!,"As a die hard One Piece fan I was so scared about this but turns out be very good it literally blew my expectations about Anime to Live Actions. Man I'm so happy that turns out be so good. Huge props to the Cast and the Production team they did a really good job no a excellent job with acting and making backgrounds, music and everything. Obviously the storyline line is kinda different a from the original Anime & Manga and some parts are left out but it's fine cuz Live Actions don't have the freedom that Anime gets they need to give an maximum output with limited episodes and resources. They did a really good job with pacing I think it was very well done. Again I'm so happy with this series and I hope there will be a Season 2 for this. LOVE IT !!!!!",1 September 2023,9
